Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Houda,546000,63,3.0,2.0,2.0,Nouveau
Appartement,Hay Houda,979000,89,4.0,3.0,2.0,Nouveau
Appartement,Hay Houda,1012000,92,4.0,3.0,2.0,Nouveau
Appartement,Hay Houda,966000,84,4.0,3.0,2.0,Nouveau
Appartement,Hay Houda,957000,87,4.0,3.0,2.0,Nouveau
Appartement,Abattoirs,640000,80,3.0,1.5,1.5,Nouveau
Appartement,Abattoirs,8000,80,4.0,2.0,2.0,Nouveau
Appartement,Abattoirs,720000,90,3.0,2.0,1.7222222222222223,Nouveau
Appartement,Hay Houda,890000,81,4.0,3.0,2.0,Nouveau
Appartement,Talborjt,1250000,85,3.0,2.0,2.0,Nouveau
Appartement,Hay Dakhla,900000,100,4.0,3.0,1.0,Bon état
Appartement,Hay Houda,630000,72,3.0,2.0,2.0,Nouveau
Appartement,Talborjt,2950000,180,5.0,3.0,2.0,Nouveau
Appartement,Haut Founty,1310000,84,3.0,2.0,1.0,Nouveau
Appartement,Haut Founty,1251160,80,3.0,2.0,1.0,Nouveau
Villa,Taddart,4200000,260,6.0,4.0,2.0,Bon état
Appartement,Secteur Touristique,570000,47,2.0,1.0,1.0,Bon état
Appartement,Haut Founty,980500,64,1.0,2.0,2.0,Nouveau
Appartement,Hay Najah,1100000,90,3.0,2.0,1.0,Bon état
Appartement,Secteur Touristique,2400000,101,5.0,3.0,2.0,Nouveau
Appartement,Tikiouine,400000,70,4.0,3.0,2.0,Nouveau
Villa,Hay Houda,1700000,67,15.0,4.0,6.0,Bon état
Appartement,Hay Salam,680000,71,3.0,2.0,2.0,Bon état
Appartement,Hay Salam,630000,80,5.0,2.0,1.0,Nouveau
Appartement,Hay Salam,640000,65,3.0,2.0,1.0,Nouveau
Appartement,Amicales,1530000,100,3.0,3.0,2.0,Bon état
Appartement,Hay Mohammadi,470000,50,5.0,2.0,1.0,Bon état
Appartement,Haut Founty,1200000,79,4.0,2.0,2.0,Nouveau
Appartement,Hay Salam,560000,78,3.0,2.0,2.0,Nouveau
Appartement,Haut Founty,790000,50,2.0,1.0,1.0,Nouveau
Appartement,Abattoirs,800000,100,3.0,4.0,1.5,Nouveau
Appartement,Abattoirs,960000,120,3.0,2.0,1.7222222222222223,Nouveau
Appartement,Hay Houda,549000,58,3.0,2.0,2.0,Nouveau
Appartement,Hay Houda,624000,65,3.0,2.0,2.0,Nouveau
Villa,Charaf,2500000,130,5.0,3.0,2.0,Bon état
Appartement,Founti,2400000,124,4.0,3.0,2.0,Bon état
Villa,Hay Salam,1750000,88,6.0,4.0,3.0,Bon état
Appartement,Hay Mohammadi,1080000,110,6.0,3.0,1.0,Nouveau
Appartement,Haut Founty,2450000,160,4.0,3.0,2.0,Nouveau
Appartement,Founti,2900000,153,4.0,3.0,2.0,Bon état
Villa,Founti,5700000,300,7.0,5.0,4.0,Bon état
Appartement,Hay Houda,880000,93,4.0,3.0,1.0,Bon état
Appartement,Ville Nouvelle,2500000,184,4.0,3.0,2.0,Bon état
Villa,Founti,4400000,218,5.0,3.0,3.0,Bon état
Appartement,Haut Founty,1297350,83,3.0,2.0,1.0,Nouveau
Appartement,Haut Founty,1233640,80,3.0,2.0,1.0,Nouveau
Villa,Illigh,15000,300,13.0,5.0,2.0,Nouveau
Appartement,Haut Founty,1183700,80,3.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1284800,82,2.0,2.0,1.0,Nouveau
Appartement,Secteur Touristique,2600000,100,3.0,2.0,2.0,Bon état
Appartement,Ville Nouvelle,2700000,100,3.0,2.0,2.0,Nouveau
Appartement,Secteur Touristique,1900000,75,2.0,1.0,2.0,Bon état
Appartement,Haut Founty,992600,65,1.0,2.0,2.0,Nouveau
Appartement,Haut Founty,1695360,105,4.0,3.0,2.0,Nouveau
Appartement,Haut Founty,598880,40,2.0,1.0,1.0,Nouveau
Appartement,Haut Founty,696600,46,2.0,1.0,1.0,Nouveau
Appartement,Secteur Touristique,1900000,66,3.0,2.0,1.0,Bon état
Appartement,Hay Mohammadi,1200000,91,3.0,2.0,2.0,Bon état
Appartement,Founti,5900000,243,1.0,3.0,4.0,Bon état
Appartement,Hay Mohammadi,1750000,172,4.0,3.0,2.0,Nouveau
Villa,Illigh,6800000,370,7.0,5.0,5.0,Bon état
Appartement,Ville Nouvelle,7500000,250,6.0,3.0,3.0,Nouveau
Villa,Charaf,3000000,120,7.0,3.0,2.0,Nouveau
Villa,Secteur Touristique,4800000,300,8.0,5.0,3.0,Bon état
Appartement,Ville Nouvelle,1600000,83,1.0,2.0,1.0,Bon état
Appartement,Hay Houda,1300000,64,1.0,1.0,1.0,Nouveau
Appartement,Tilila,380000,50,3.0,2.0,1.0,Bon état
Appartement,Hay Massira,710000,90,3.0,2.0,2.0,Bon état
Appartement,Hay Mohammadi,960000,104,3.0,2.0,2.0,Bon état
Appartement,Hay Houda,650000,67,2.0,3.0,2.0,Nouveau
Appartement,Secteur Touristique,3300000,133,4.0,2.0,2.0,Nouveau
Appartement,Hay Salam,670000,62,3.0,3.0,1.0,Nouveau
Appartement,Hay Salam,1300000,95,4.0,4.0,2.0,Nouveau
Appartement,Secteur Touristique,1900000,85,3.0,1.0,2.0,Nouveau
Appartement,Hay Mohammadi,2000000,160,5.0,3.0,2.0,Bon état
Villa,Charaf,2200000,150,5.0,4.0,2.0,Bon état
Villa,Tilila,2900000,112,13.0,5.0,3.0,Bon état
Villa,Hay Najah,5400000,330,8.0,5.0,4.0,Nouveau
Villa,Riad Salam,3500000,130,9.0,4.0,4.0,Nouveau
Appartement,Hay Salam,630000,61,5.0,2.0,1.0,Bon état
Appartement,Abattoirs,1650000,114,3.5,2.0,1.0,Nouveau
Appartement,Hay Salam,630000,61,2.0,2.0,1.0,Bon état
Appartement,Secteur Touristique,2000000,78,2.0,1.0,2.0,Bon état
Villa,Founti,1600000,100,4.0,3.0,1.0,À rénover
Villa,Tilila,3500000,110,3.0,6.0,3.0,Nouveau
Appartement,Hay Salam,660000,60,3.0,2.0,1.0,Bon état
Villa,Secteur Touristique,7800000,500,7.0,4.0,4.0,Bon état
Villa,Founti,4750000,309,6.0,5.0,3.0,Bon état
Villa,Amicales,1460000,108,5.0,4.0,2.0,À rénover
Appartement,Taddart Anza,460000,60,5.0,2.0,2.0,Nouveau
Appartement,Hay Dakhla,520000,52,2.0,1.0,1.0,Nouveau
Villa,Founti,4500000,330,3.0,5.0,3.0,Bon état
Villa,Haut Anza,960000,280,2.0,5.0,3.0,Bon état
Villa,Taddart Anza,960000,203,2.0,5.0,3.0,Bon état
Villa,Haut Anza,960000,203,2.0,5.0,3.0,Nouveau
Appartement,Hay Dakhla,1150000,88,3.0,2.0,2.0,Nouveau
Villa,Founti,6500000,270,9.0,5.0,4.0,Bon état
Appartement,Riad Salam,1300000,83,3.0,2.0,2.0,Bon état
Appartement,Hay Houda,750000,70,5.0,2.0,1.0,Bon état
Villa,Cité Adrar,1200000,64,3.0,3.0,1.0,Nouveau
Villa,Tilila,3000000,112,3.0,3.0,2.0,Nouveau
Appartement,Tilila,840000,78,3.0,3.0,2.0,Nouveau
Appartement,Hay Mohammadi,1250000,103,4.0,2.0,2.0,Nouveau
Appartement,Taddart Anza,520000,100,4.0,4.0,1.0,Nouveau
Appartement,Abattoirs,1000000,100,4.0,4.0,1.0,Nouveau
Appartement,Tilila,15000,114,5.0,3.0,2.0,Nouveau
Appartement,Cité Adrar,350000,52,3.0,3.0,1.0,Nouveau
Villa,Hay Salam,2000000,84,3.0,3.0,2.0,Nouveau
Appartement,Hay Salam,600000,52,3.0,3.0,1.0,Nouveau
Villa,Cité Adrar,2000000,96,3.0,3.0,2.0,Nouveau
Appartement,Extension Dakhla,800000,70,3.0,3.0,2.0,Nouveau
Appartement,Hay Houda,1030000,80,3.0,2.0,1.0,Bon état
Villa,Amicales,1460000,106,6.0,4.0,2.0,À rénover
