Type,Quartier,Price,Area,Rooms,Bedrooms,Bathrooms,Status
Appartement,Hay Houda,546000,63,3,2,2,Nouveau
Appartement,Hay Houda,979000,89,4,3,2,Nouveau
Appartement,Hay Houda,1012000,92,4,3,2,Nouveau
Appartement,Hay Houda,966000,84,4,3,2,Nouveau
Appartement,Hay Houda,957000,87,4,3,2,Nouveau
Appartement,Abattoirs,640000,80,3,N/A,N/A,Nouveau
Appartement,Abattoirs,8000,80,4,2,2,Nouveau
Appartement,Abattoirs,720000,90,3,2,N/A,Nouveau
Appartement,Haut Founty,,83,4,2,1,Nouveau
Villa,Founti,,400,6,3,3,Nouveau
Appartement,Hay Houda,890000,81,4,3,2,Nouveau
Appartement,Talborjt,1250000,85,3,2,2,Nouveau
Appartement,Hay Dakhla,900000,100,4,3,1,Bon état
Appartement,Hay Houda,630000,72,3,2,2,Nouveau
Appartement,Talborjt,2950000,180,5,3,2,Nouveau
Appartement,Haut Founty,1310000,84,3,2,1,Nouveau
Appartement,Haut Founty,1251160,80,3,2,1,Nouveau
Maison,Taddart,4200000,260,6,4,2,Bon état
Appartement,Secteur Touristique,570000,47,2,1,1,Bon état
Appartement,Haut Founty,980500,64,1,2,2,Nouveau
Appartement,Hay Najah,1100000,90,3,2,1,Bon état
Appartement,Secteur Touristique,2400000,101,5,3,2,Nouveau
Appartement,Tikiouine,400000,70,4,3,2,Nouveau
Maison,Tilila,,112,3,6,4,Nouveau
Maison,Hay Houda,1700000,67,15,4,6,Bon état
Appartement,Hay Salam,680000,71,3,2,2,Bon état
Appartement,Hay Salam,630000,80,5,2,1,Nouveau
Appartement,Hay Salam,640000,65,3,2,1,Nouveau
Appartement,Amicales,1530000,100,3,3,2,Bon état
Appartement,Hay Mohammadi,470000,50,5,2,1,Bon état
Appartement,Haut Founty,1200000,79,4,2,2,Nouveau
Appartement,Hay Salam,560000,78,3,2,2,Nouveau
Appartement,Haut Founty,790000,50,2,1,1,Nouveau
Appartement,Abattoirs,800000,100,3,N/A,N/A,Nouveau
Appartement,Abattoirs,960000,120,3,2,N/A,Nouveau
Appartement,Hay Houda,549000,58,3,2,2,Nouveau
Appartement,Hay Houda,624000,65,3,2,2,Nouveau
Maison,Charaf,2500000,130,5,3,2,Bon état
Appartement,Founti,2400000,124,4,3,2,Bon état
Maison,Hay Salam,1750000,88,6,4,3,Bon état
Appartement,Hay Mohammadi,,78,1,2,1,Nouveau
Appartement,Anahda,1250000,85,3,2,2,Nouveau
Appartement,Hay Mohammadi,1080000,110,6,3,1,Nouveau
Appartement,Hay Mohammadi,,107,N/A,2,2,N/A
Appartement,Haut Founty,2450000,160,4,3,2,Nouveau
Appartement,Founti,2900000,153,4,3,2,Bon état
Villa,Founti,5700000,300,7,5,4,Bon état
Appartement,Hay Houda,880000,93,4,3,1,Bon état
